duration_s,power_w
1140,186.75877192982458
1141,186.8141980718668
1142,186.87215411558665
1143,186.93525809273848
1144,187.00611888111894
1145,187.0829694323144
1146,187.1535776614311
1147,187.22406277244986
1148,187.29442508710795
1149,187.35596170583128
1150,187.4069565217391
1151,187.45873153779314
1152,187.52256944444446
1153,187.59150043365133
1154,187.6568457538995
1155,187.71168831168833
1156,187.75692041522495
1157,187.79948141745896
1158,187.84196891191718
1159,187.8843830888697
1160,187.928448275862
1161,187.9793281653747
1162,188.0327022375215
1163,188.08684436801377
1164,188.14432989690727
1165,188.20000000000002
1166,188.24957118353342
1167,188.29820051413876
1168,188.34246575342462
1169,188.38323353293416
1170,188.41880341880326
1171,188.46114432109306
1172,188.51365187713313
1173,188.56436487638535
1174,188.6166950596252
1175,188.668085106383
1176,188.71428571428578
1177,188.75446049277824
1178,188.79456706281832
1179,188.8303647158609
1180,188.8618644067796
1181,188.89500423370023
1182,188.92470389170902
1183,188.95266272189343
1184,188.9890202702703
1185,189.02869198312231
1186,189.08010118043845
1187,189.1280539174389
1188,189.16750841750843
1189,189.2035323801514
1190,189.23361344537798
1191,189.26784214945417
1192,189.31711409395973
1193,189.36714165968144
1194,189.40787269681744
1195,189.44686192468623
1196,189.47742474916384
1197,189.50459482038434
1198,189.53505843071784
1199,189.580483736447
1200,189.645
1201,189.7135720233139
1202,189.7745424292846
1203,189.8270989193682
1204,189.8762458471761
1205,189.92531120331932
1206,189.97761194029852
1207,190.036454018227
1208,190.09519867549665
1209,190.14805624483043
1210,190.19917355371896
1211,190.25185796862104
1212,190.29867986798686
1213,190.33635614179727
1214,190.3714991762768
1215,190.40987654320992
1216,190.45065789473682
1217,190.48808545603944
1218,190.5254515599343
1219,190.55455291222313
1220,190.57868852459018
1221,190.6109746109746
1222,190.65302782324062
1223,190.6901062959934
1224,190.72303921568627
1225,190.76
1226,190.7928221859706
1227,190.8125509372453
1228,190.82654723127033
1229,190.84133441822624
1230,190.86016260162597
1231,190.8830219333875
1232,190.90665584415586
1233,190.93268450932692
1234,190.96353322528364
1235,190.99595141700405
1236,191.02184466019415
1237,191.0436540016168
1238,191.10339256865913
1239,191.16222760290555
1240,191.2048387096774
1241,191.24093473005644
1242,191.27133655394533
1243,191.30732099758646
1244,191.3480707395498
1245,191.38714859437755
1246,191.42295345104336
1247,191.45388933440253
1248,191.48076923076923
1249,191.51321056845478
1250,191.552
1251,191.5883293365308
1252,191.63099041533548
1253,191.67358339984034
1254,191.70893141945766
1255,191.74980079681276
1256,191.80015923566881
1257,191.84327764518704
1258,191.8783783783784
1259,191.91262907069105
1260,191.9452380952381
1261,191.98493259317988
1262,192.03328050713162
1263,192.08076009501195
1264,192.12737341772151
1265,192.16996047430828
1266,192.20932069510266
1267,192.24388318863453
1268,192.27839116719244
1269,192.32151300236413
1270,192.36299212598425
1271,192.39732494099133
